                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1097,                 3.6896,                 1.9775,                0.65308,                0.53719,                0.57022,                0.38183,                 1.3206,                 1.9449,                 1.2103,             0.00027632,             0.00027632,             0.00027632
                      1,                 1.9977,                 3.2688,                  1.911,                 0.6952,                 0.6561,                0.66868,                0.43704,                 1.3453,                 3.8002,                 1.2885,              0.0005485,              0.0005485,              0.0005485
                      2,                 1.9425,                 3.1962,                 1.8961,                0.72118,                 0.6369,                0.71185,                0.47667,                 1.3614,                 1.4786,                 1.2936,             0.00081519,             0.00081519,             0.00081519
                      3,                 1.9123,                 3.1512,                 1.8885,                 0.7868,                0.70566,                0.76938,                0.50984,                 1.3591,                 1.4576,                 1.2818,             0.00080826,             0.00080826,             0.00080826
                      4,                 1.9141,                 3.1094,                 1.8848,                 0.7785,                0.73648,                0.77795,                0.52983,                 1.2688,                 1.3701,                 1.2327,             0.00080826,             0.00080826,             0.00080826
                      5,                 1.8547,                 3.0388,                 1.8505,                0.83983,                0.77917,                0.80793,                0.56577,                 1.2524,                 1.1532,                 1.2324,             0.00080001,             0.00080001,             0.00080001
                      6,                  1.863,                 3.0362,                 1.8568,                0.81432,                0.80875,                0.83263,                0.57039,                 1.2665,                 1.0976,                 1.1966,             0.00079177,             0.00079177,             0.00079177
                      7,                 1.8049,                 2.9887,                 1.8259,                 0.7281,                0.73016,                0.76268,                0.53184,                  1.238,                 1.1988,                 1.1745,             0.00078352,             0.00078352,             0.00078352
                      8,                 1.8043,                 2.9522,                 1.8167,                0.90154,                0.76903,                0.83426,                0.59338,                 1.2087,                 1.1174,                 1.1731,             0.00077527,             0.00077527,             0.00077527
                      9,                 1.7791,                 2.9486,                 1.8143,                0.81671,                0.82502,                0.83832,                0.58037,                 1.1871,                 1.0738,                 1.1542,             0.00076703,             0.00076703,             0.00076703
                     10,                  1.796,                 2.9453,                 1.8124,                0.82697,                0.84827,                0.84302,                0.60627,                 1.1588,                 1.0216,                 1.1457,             0.00075878,             0.00075878,             0.00075878
                     11,                 1.7663,                 2.8952,                  1.796,                0.87253,                0.82225,                0.86445,                0.61649,                 1.1771,                0.92806,                 1.1493,             0.00075053,             0.00075053,             0.00075053
                     12,                 1.7544,                 2.8862,                 1.7909,                0.87412,                0.82962,                0.86012,                0.61168,                 1.1271,                0.95872,                 1.1266,             0.00074229,             0.00074229,             0.00074229
                     13,                  1.757,                 2.8679,                 1.7906,                0.86606,                0.83174,                0.84592,                 0.6055,                  1.133,                0.93163,                 1.1196,             0.00073404,             0.00073404,             0.00073404
                     14,                 1.7217,                 2.8584,                 1.7735,                 0.8561,                0.83885,                0.85223,                0.61467,                 1.1147,                0.90263,                 1.1064,             0.00072579,             0.00072579,             0.00072579
                     15,                 1.7294,                 2.8378,                 1.7665,                0.83908,                0.86088,                0.87061,                0.63559,                 1.0829,                  0.862,                 1.0929,             0.00071755,             0.00071755,             0.00071755
                     16,                  1.731,                 2.8439,                 1.7719,                0.83926,                0.85456,                 0.8491,                0.60616,                 1.1318,                0.96563,                 1.1097,              0.0007093,              0.0007093,              0.0007093
                     17,                 1.6986,                 2.8129,                 1.7504,                0.84173,                0.81651,                0.85197,                0.61684,                 1.1204,                0.94039,                  1.106,             0.00070105,             0.00070105,             0.00070105
                     18,                 1.7099,                 2.8066,                 1.7573,                0.80294,                0.85919,                0.86615,                0.61667,                 1.1151,                0.85742,                  1.119,             0.00069281,             0.00069281,             0.00069281
                     19,                 1.6944,                 2.7748,                 1.7454,                0.83056,                0.83714,                0.85493,                 0.6292,                 1.1097,                0.88008,                 1.1013,             0.00068456,             0.00068456,             0.00068456
                     20,                 1.6759,                  2.771,                 1.7389,                 0.8171,                0.85008,                0.85263,                0.62224,                 1.1387,                0.84355,                 1.0995,             0.00067631,             0.00067631,             0.00067631
                     21,                 1.7059,                 2.7745,                 1.7509,                0.89699,                0.85974,                0.87362,                0.62994,                 1.1087,                 0.8079,                 1.1071,             0.00066807,             0.00066807,             0.00066807
                     22,                 1.6827,                 2.7812,                 1.7378,                 0.8233,                 0.8801,                0.86865,                0.62691,                 1.1087,                0.83766,                 1.0989,             0.00065982,             0.00065982,             0.00065982
                     23,                 1.6727,                 2.7477,                 1.7309,                0.86202,                  0.864,                0.87853,                0.62362,                 1.0763,                0.80526,                 1.0757,             0.00065157,             0.00065157,             0.00065157
                     24,                 1.6804,                 2.7252,                 1.7318,                  0.889,                0.85937,                0.87296,                0.62942,                 1.0824,                0.82557,                 1.0938,             0.00064333,             0.00064333,             0.00064333
                     25,                 1.6636,                  2.736,                 1.7189,                0.89848,                0.86033,                0.88067,                 0.6373,                 1.0617,                0.77763,                 1.0734,             0.00063508,             0.00063508,             0.00063508
                     26,                 1.6562,                 2.6967,                 1.7148,                0.87151,                0.87049,                0.87474,                0.64195,                 1.0506,                0.79068,                 1.0706,             0.00062683,             0.00062683,             0.00062683
                     27,                 1.6574,                 2.7069,                 1.7105,                0.85934,                0.84697,                0.86971,                0.62957,                 1.0772,                0.79878,                 1.0901,             0.00061859,             0.00061859,             0.00061859
                     28,                 1.6576,                 2.7203,                 1.7192,                0.87678,                0.86429,                 0.8776,                0.63716,                 1.0556,                0.79265,                 1.0686,             0.00061034,             0.00061034,             0.00061034
                     29,                 1.6577,                 2.7204,                 1.7234,                0.83229,                0.87267,                0.86096,                0.63231,                 1.0525,                0.78838,                 1.0646,             0.00060209,             0.00060209,             0.00060209
                     30,                 1.6346,                 2.6824,                    1.7,                0.87275,                0.87924,                0.87473,                0.64273,                 1.0521,                0.77479,                 1.0511,             0.00059385,             0.00059385,             0.00059385
                     31,                 1.6382,                 2.6689,                 1.7037,                0.84524,                0.83983,                0.84679,                0.61863,                 1.0625,                0.80338,                   1.07,              0.0005856,              0.0005856,              0.0005856
                     32,                 1.6326,                 2.6686,                 1.7001,                 0.8726,                0.87817,                0.87534,                0.64102,                 1.0441,                0.78776,                 1.0701,             0.00057735,             0.00057735,             0.00057735
                     33,                 1.6454,                 2.6941,                 1.7089,                0.88687,                0.87121,                0.87554,                0.64138,                 1.0719,                0.77652,                 1.0706,             0.00056911,             0.00056911,             0.00056911
                     34,                 1.6278,                 2.6515,                 1.6892,                0.86066,                 0.8838,                0.87139,                0.64125,                 1.0513,                0.77538,                 1.0709,             0.00056086,             0.00056086,             0.00056086
                     35,                 1.6166,                 2.6578,                 1.6896,                0.88229,                0.89556,                0.87097,                0.63588,                 1.0533,                0.78645,                 1.0716,             0.00055261,             0.00055261,             0.00055261
                     36,                 1.6287,                 2.6719,                  1.697,                0.88081,                0.89042,                0.88169,                0.65713,                 1.0536,                0.73543,                 1.0547,             0.00054437,             0.00054437,             0.00054437
                     37,                 1.6182,                 2.6494,                 1.6923,                0.85624,                0.85106,                0.85964,                0.63832,                 1.0435,                0.74016,                 1.0653,             0.00053612,             0.00053612,             0.00053612
                     38,                  1.617,                 2.6329,                 1.6859,                0.86592,                 0.8631,                 0.8719,                0.64861,                 1.0354,                0.73708,                 1.0539,             0.00052787,             0.00052787,             0.00052787
                     39,                 1.6121,                 2.6185,                 1.6861,                0.86856,                 0.8769,                0.87794,                0.64893,                 1.0311,                0.73454,                 1.0577,             0.00051963,             0.00051963,             0.00051963
                     40,                 1.5974,                 2.6133,                  1.673,                0.85553,                0.88476,                0.86548,                0.63207,                 1.0398,                 0.7661,                 1.0674,             0.00051138,             0.00051138,             0.00051138
                     41,                 1.6028,                 2.6231,                 1.6832,                0.87192,                0.88298,                0.87503,                0.65069,                 1.0187,                0.72393,                 1.0517,             0.00050313,             0.00050313,             0.00050313
                     42,                 1.5998,                 2.6114,                 1.6765,                0.85811,                0.87405,                0.87447,                0.64864,                 1.0393,                0.72077,                 1.0569,             0.00049489,             0.00049489,             0.00049489
                     43,                  1.608,                 2.6111,                 1.6782,                0.88136,                0.88646,                0.88636,                0.66001,                 1.0172,                0.71964,                 1.0488,             0.00048664,             0.00048664,             0.00048664
                     44,                 1.5916,                 2.5906,                 1.6676,                0.88758,                0.88173,                0.88356,                 0.6551,                 1.0234,                 0.7118,                  1.054,             0.00047839,             0.00047839,             0.00047839
                     45,                 1.5865,                 2.5801,                 1.6601,                 0.8603,                0.86807,                0.85607,                 0.6376,                 1.0276,                 0.7444,                 1.0527,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.5912,                 2.6182,                 1.6733,                0.88378,                0.87817,                0.87954,                0.65539,                  1.024,                0.71736,                 1.0602,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.5889,                 2.5805,                 1.6697,                0.86519,                0.87395,                0.86491,                0.65384,                 1.0207,                0.71699,                 1.0436,             0.00045365,             0.00045365,             0.00045365
                     48,                  1.581,                 2.5861,                  1.661,                0.86117,                0.89055,                0.86768,                0.65719,                 0.9999,                0.70697,                  1.041,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.5677,                 2.5674,                 1.6504,                0.86519,                0.88016,                0.87576,                0.66172,                0.99359,                0.69105,                 1.0372,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.5616,                 2.5494,                 1.6512,                 0.9026,                0.88367,                 0.8806,                0.66222,                 1.0023,                0.70223,                 1.0411,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.5804,                 2.5707,                 1.6593,                0.88457,                0.89154,                0.88728,                0.65815,                 1.0203,                0.69135,                 1.0427,             0.00042066,             0.00042066,             0.00042066
                     52,                 1.5753,                 2.5706,                 1.6679,                 0.8659,                0.89924,                 0.8828,                 0.6657,                0.99832,                0.69356,                 1.0478,             0.00041242,             0.00041242,             0.00041242
                     53,                  1.561,                  2.569,                  1.652,                0.87875,                0.88836,                0.88198,                0.65616,                 1.0027,                0.69439,                 1.0434,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.5759,                 2.5576,                 1.6593,                0.86407,                0.87831,                0.86706,                0.65537,                0.98737,                0.70132,                   1.04,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.5555,                 2.5395,                 1.6443,                0.89167,                0.88402,                0.88784,                0.66348,                 1.0065,                0.67753,                  1.044,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.5566,                 2.5159,                  1.637,                0.88049,                0.88753,                0.88094,                 0.6605,                 1.0003,                 0.6892,                  1.046,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.5408,                 2.4981,                 1.6271,                0.88699,                0.88119,                0.88371,                0.66692,                 1.0009,                0.67778,                 1.0409,             0.00037118,             0.00037118,             0.00037118
                     58,                 1.5529,                 2.5133,                 1.6333,                0.88504,                0.89399,                0.88164,                0.66494,                0.98905,                0.67172,                 1.0316,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.5413,                 2.5033,                 1.6298,                0.87962,                0.89153,                0.87513,                0.66158,                0.99415,                0.68129,                 1.0414,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.5348,                 2.4993,                 1.6248,                0.90192,                0.88113,                0.88424,                0.66359,                0.99361,                0.67342,                 1.0345,             0.00034644,             0.00034644,             0.00034644
                     61,                 1.5422,                 2.4802,                 1.6239,                 0.8867,                0.89347,                0.88473,                0.65846,                 1.0226,                 0.6866,                 1.0493,              0.0003382,              0.0003382,              0.0003382
                     62,                 1.5523,                 2.5051,                 1.6337,                0.85995,                0.89765,                0.87408,                0.65777,                 1.0006,                0.68535,                 1.0357,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.5363,                 2.4994,                 1.6278,                0.87908,                0.89863,                0.87992,                0.65642,                 0.9866,                0.67705,                 1.0386,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.5267,                 2.4591,                 1.6148,                0.89747,                0.88463,                0.88185,                0.65903,                 1.0004,                0.67367,                 1.0398,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.5273,                 2.4872,                 1.6313,                0.87658,                0.88506,                0.87669,                0.66462,                0.99513,                0.66363,                 1.0412,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.5283,                 2.4876,                  1.617,                0.88738,                0.89597,                0.88253,                 0.6665,                0.98638,                0.64843,                 1.0297,             0.00029696,             0.00029696,             0.00029696
                     67,                 1.5107,                 2.4594,                 1.6152,                0.89537,                0.89287,                0.88296,                0.65514,                 1.0021,                0.67276,                 1.0332,             0.00028872,             0.00028872,             0.00028872
                     68,                 1.5174,                 2.4483,                 1.6068,                0.88764,                0.89615,                0.88141,                 0.6617,                0.99662,                 0.6598,                 1.0394,             0.00028047,             0.00028047,             0.00028047
                     69,                 1.4972,                 2.4397,                 1.6042,                0.89029,                0.88743,                0.88414,                0.66282,                 1.0042,                0.66451,                 1.0428,             0.00027222,             0.00027222,             0.00027222
                     70,                 1.5151,                 2.4665,                  1.614,                0.88986,                0.88633,                0.88146,                0.65976,                0.99806,                0.65204,                 1.0376,             0.00026398,             0.00026398,             0.00026398
                     71,                 1.5104,                 2.4569,                 1.6121,                 0.8864,                 0.8858,                0.87912,                0.66474,                0.98419,                0.64963,                 1.0317,             0.00025573,             0.00025573,             0.00025573
                     72,                  1.519,                 2.4587,                 1.6166,                0.88592,                0.88414,                 0.8752,                 0.6634,                0.97968,                0.65801,                 1.0371,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.5023,                 2.4416,                 1.6009,                0.89061,                0.89638,                0.87961,                0.66461,                 0.9798,                0.65923,                 1.0324,             0.00023924,             0.00023924,             0.00023924
                     74,                 1.5088,                 2.4407,                 1.6092,                0.88877,                0.88076,                0.87876,                 0.6728,                0.96673,                0.64222,                 1.0276,             0.00023099,             0.00023099,             0.00023099
                     75,                 1.4864,                 2.4149,                 1.5924,                0.89694,                0.88291,                0.87937,                0.66733,                0.99386,                0.65176,                  1.037,             0.00022274,             0.00022274,             0.00022274
                     76,                 1.4845,                 2.4186,                 1.5899,                 0.8905,                0.88687,                0.87946,                0.66453,                0.99528,                0.64032,                 1.0371,              0.0002145,              0.0002145,              0.0002145
                     77,                 1.4907,                 2.4116,                 1.5934,                0.89884,                0.88964,                0.88567,                 0.6744,                0.98954,                0.63081,                 1.0362,             0.00020625,             0.00020625,             0.00020625
                     78,                  1.516,                 2.4365,                 1.6017,                0.90588,                0.89085,                0.88668,                0.66899,                0.98584,                 0.6413,                 1.0358,               0.000198,               0.000198,               0.000198
                     79,                 1.4892,                 2.4107,                 1.5934,                 0.8962,                0.90037,                 0.8851,                0.66757,                0.97445,                0.63558,                 1.0283,             0.00018976,             0.00018976,             0.00018976
                     80,                 1.4859,                  2.395,                 1.5903,                0.89192,                0.89236,                0.87968,                 0.6661,                0.98318,                0.62918,                 1.0321,             0.00018151,             0.00018151,             0.00018151
                     81,                 1.4697,                 2.3737,                 1.5757,                 0.9005,                0.89752,                0.88589,                0.67264,                0.97788,                0.62954,                 1.0297,             0.00017326,             0.00017326,             0.00017326
                     82,                  1.488,                 2.3979,                 1.5868,                0.89969,                0.89217,                0.88647,                0.67004,                0.99292,                0.63982,                 1.0356,             0.00016502,             0.00016502,             0.00016502
                     83,                 1.4727,                 2.3842,                 1.5874,                0.87608,                0.89092,                0.87963,                0.66807,                0.98539,                0.63249,                 1.0303,             0.00015677,             0.00015677,             0.00015677
                     84,                 1.4765,                 2.3542,                 1.5744,                0.87747,                0.89249,                0.87844,                0.66946,                0.98309,                0.63126,                 1.0293,             0.00014852,             0.00014852,             0.00014852
                     85,                 1.4718,                 2.3747,                 1.5773,                0.89037,                0.89353,                0.87736,                0.67003,                0.97848,                0.63437,                  1.031,             0.00014028,             0.00014028,             0.00014028
                     86,                 1.4707,                 2.3515,                 1.5725,                0.88009,                0.89626,                0.88014,                0.66901,                0.97525,                0.61377,                 1.0319,             0.00013203,             0.00013203,             0.00013203
                     87,                 1.4543,                 2.3396,                 1.5649,                0.88752,                 0.8973,                0.88143,                0.67076,                0.97197,                0.62134,                 1.0266,             0.00012378,             0.00012378,             0.00012378
                     88,                 1.4613,                 2.3539,                 1.5678,                0.89523,                0.88762,                0.88225,                0.67264,                0.97091,                0.62541,                   1.02,             0.00011554,             0.00011554,             0.00011554
                     89,                 1.4578,                 2.3453,                 1.5667,                0.89298,                0.89192,                0.88183,                0.67706,                0.96976,                0.62477,                 1.0219,             0.00010729,             0.00010729,             0.00010729
                     90,                 1.4987,                 2.3381,                 1.6264,                 0.8949,                0.89647,                0.88904,                0.66603,                0.98688,                0.65153,                 1.0307,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 1.4815,                 2.3014,                 1.6148,                0.89949,                0.89217,                 0.8891,                0.67001,                0.98582,                0.62987,                 1.0295,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 1.4793,                 2.2859,                 1.6123,                0.89338,                0.89327,                0.88555,                 0.6703,                0.98315,                0.63038,                 1.0315,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                 1.4695,                 2.2757,                 1.6089,                0.89254,                0.89845,                0.88869,                0.66929,                0.98072,                0.63331,                  1.029,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 1.4659,                 2.2597,                 1.6031,                0.90197,                0.89819,                0.89035,                0.67221,                0.97168,                0.63073,                  1.024,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 1.4673,                 2.2578,                 1.6011,                0.91017,                0.89637,                0.89303,                0.67215,                0.97778,                0.63061,                 1.0277,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                 1.4691,                 2.2546,                 1.6044,                0.90517,                0.89469,                0.88854,                0.67399,                0.97678,                 0.6301,                  1.027,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 1.4663,                 2.2495,                 1.5978,                0.90792,                0.89812,                0.89149,                0.67255,                0.97551,                0.62577,                 1.0229,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 1.4507,                  2.237,                 1.5982,                0.90815,                0.89718,                0.88929,                0.67538,                0.97401,                0.62763,                 1.0229,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                 1.4487,                 2.2276,                 1.5919,                0.90844,                 0.8949,                0.89049,                0.67465,                0.98218,                0.62792,                 1.0246,             2.4823e-05,             2.4823e-05,             2.4823e-05
